"Characteristic","All_Data","Sex_Data"
"N  studies","27","26"
"N  patients","2045","1569"
"Age year","",""
"Median (IQR)","65 (19-90)","64 (19-90)"
"NA (%)","1530 (74.8%)","NA (NA%)"
"Sex","",""
"Female (%)","507  ( 24.8 %)","544  ( 34.7 %)"
"Male (%)","934  ( 45.7 %)","1009  ( 64.3 %)"
"NA (%)","1530 (74.8%)","NA (NA%)"
"Cancer Type","",""
"Bladder (%)","517 (25.3%)","NA (NA%)"
"Melanoma (%)","425 (20.8%)","NA (NA%)"
"Brain (%)","28 (1.4%)","NA (NA%)"
"Lung (%)","692 (33.8%)","NA (NA%)"
"Kidney (%)","207 (10.1%)","NA (NA%)"
"Gastric (%)","45 (2.2%)",NA
"Ureteral (%)","51 (2.5%)","NA (NA%)"
"Pancreas (%)","45 (2.2%)","NA (NA%)"
"Esophageal (%)","35 (1.7%)",NA
"Treatment","",""
"PD-1/PD-L1 (%)","1956 (95.6%)","NA (NA%)"
"IO+combo (%)","47 (2.3%)","NA (NA%)"
"CTLA4 (%)","42 (2.1%)","NA (NA%)"
"Response","",""
"No-response (%)","1080  ( 52.8 %)","865  ( 55.1 %)"
"Response (%)","481  ( 23.5 %)","394  ( 25.1 %)"
"NA (%)","1530 (74.8%)","NA (NA%)"
"PFS","",""
"No-progression (%)","226  ( 11.1 %)","217  ( 13.8 %)"
"Progressed (%)","983 ( 48.1 %)","947 ( 60.4 %)"
"NA (%)","1530 (74.8%)","NA (NA%)"
"Median PFS","2.9","3"
"IQR PFS","7.1","8.2"
"OS","",""
"Alive (%)","454  ( 22.2 %)","500  ( 31.9 %)"
"Dead (%)","850  ( 41.6 %)","916  ( 58.4 %)"
"NA (%)","1530 (74.8%)","NA (NA%)"
"Median OS","10.3","10.5"
"IQR OS","16.3","16.1"
