"","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"P_990",0.943915845661506,0,0.348985552392489,0.441021496781894,0.240526725885954,2.76412991592115,0.460388761760213,1.83308924926414,1.61296729896959,5.53566983635467
"P_947",2.70346015707467,2.42609041680813,2.81548745577999,1.62584002960797,1.2789809441176,5.10669526524355,1.51953143127945,1.65344380665218,1.51476592114097,4.77074376813295
"P_825",0.764993780002911,0.746834592107599,0.286866633968866,0.719523611881708,0.0790520405274699,1.52746482722984,0.563674276334365,2.36464395502428,2.71292358232525,4.60859552061281
"P_573",2.61925542947243,1.06690865230374,2.26275915833424,1.83750738597998,0.442048508482069,4.02901777109633,1.45939513245774,2.40590531643061,2.11490411994382,5.48557806227252
"P_378",2.08922610930628,1.92002318133542,2.03412522538396,1.5341854367509,0.482295711446426,4.92500468152403,2.47362316047733,3.27171168839112,2.600402047182,6.1476432875941
"P_1873",1.24673732983871,0.656003007100333,0.979841151057418,1.7034380804378,0.223371644401942,4.13116041265508,1.23516570978262,2.91026742751954,2.77462170115042,7.90251232365447
"P_1809",1.49588827671448,1.69227062486712,1.16665078619827,1.23341326590687,0.107976103002041,4.35415144086462,2.66890880160164,2.15375211457093,1.99322803378554,6.12166520817133
"P_1708",2.71717578109233,3.31952728558226,2.21831151801375,3.61799975087547,0.519690203685381,5.33943347944847,1.97864934333782,3.28991231519379,1.16837175533186,3.91498085964644
"P_1619",1.03058580829658,0.982450933136496,1.20102319655807,0.691247680016066,0.22945635475314,5.45578556718569,2.86289566325359,1.91227927256344,3.52820007483505,8.27787639324679
"P_1554",1.53263013594817,1.07332780250556,1.04507395985728,2.41559899768976,0.159674808093546,2.86961582698331,1.51305804481175,2.13672215204328,3.45427729841064,8.00715796302694
"P_1528",1.89248708924291,2.85056256068262,2.98511274582856,1.05397951117885,0.45050669331272,3.33898391096123,1.68451015652523,3.20533235032566,0.571416016605544,3.2778538992027
"P_1510",2.28880234951068,2.45983078500552,2.57306519848494,2.08410237873984,0.685024749328434,4.74052970097928,1.68704831879748,3.85894058440845,1.30060401660569,3.11499614050656
"P_1508",2.31564477453582,1.97748978917571,2.47120991521509,1.89727548485459,0.583683426773374,3.49357478886311,2.49298976916828,3.67261488840863,2.78491500711973,5.22144643753171
"P_1425",1.92068111403884,1.84565667905726,1.77958046930019,0.940462248140377,0.395963898594946,3.76263902153381,2.15396117850884,3.14305116517979,2.27627795451604,4.43384250854497
"P_1412",1.12165044209574,1.84789879017482,1.74496595055251,0.627830726494012,0.414712002523755,3.28010780451969,1.05044856241482,1.95043688765552,2.02663787070041,6.04362638954726
"P_1401",3.26416909363248,1.34605231106858,1.4415348595114,4.99030703285784,0.204908883219216,3.62574655547339,2.83330260030479,2.33890482149968,2.46251322418038,6.28300209896766
"P_1358",1.50645836565413,1.41679187956562,1.13724024957631,0.791618895297332,0.170786459177743,4.36384635902989,1.14887661420107,2.00236257586519,1.60017751612909,6.24321959485478
"P_1352",1.14618134351314,0.0636321280896698,0.912139662971315,0.590610132378277,0.255818685263966,3.37750349839592,0.724655760541226,1.91246015992367,2.46230943815043,6.86869872181942
"P_1327",2.1599867362253,2.09758136705556,2.31872874732849,1.40887583469693,0.582525621790819,4.32860311737915,3.49129997521996,2.88247034703096,1.14630273655484,3.37952223823868
"P_1203",0.57382563051057,0.0323176149266555,0.664633160257184,1.04398485515962,0.0828688878045284,3.37381424221705,0.849549801066675,1.97431549078112,1.40712768698193,4.16727070688741
"P_1164",1.12232029497479,2.51845668559289,1.01143966676102,0.720449721007467,0.184174719336451,2.56469152251594,0.680001014695514,3.22568500737057,2.48163381152768,5.89944363366434
"P_1155",1.45818063910093,0.589290704678103,2.4593178235056,0.91813522314784,0.191152062172693,2.00437510217558,0.757251626737227,2.50662075295252,1.43609835482907,3.9602693390989
"P_1145",3.10322749424823,2.98605377019921,2.39495238964652,4.3684243115674,0.502088738112617,4.29172697062859,2.02697908159465,3.52718954863156,0.975223593658937,3.90104374167188
"P_1104",0.698836341816606,0.0333949813588016,1.81362748044371,0.70742630451946,0.068169284621456,1.96362441025374,0.822739160381063,2.25864002392868,2.34570002333946,5.37799240219494
"P_1079",1.27495869365734,0.525726348450313,0.929497772224847,1.00405942373498,0.15333894753558,2.20628224118486,1.62165151022598,1.16171552250171,1.23098303434907,6.00227186152268
"P_1066",2.05887736898783,1.14520144869084,1.94298020288982,1.36332251684519,0.44662248211577,4.29504564339386,2.87194202899977,2.09437167663436,3.23593666795942,6.69167559162051
"P_1017",2.19008697393095,2.07167292177869,1.71269618075051,2.90445970922167,0.409590813888162,3.94996633737004,2.80339954919215,2.29311495884218,3.32384703893401,8.71387509320356
