"","B_cell_TIMER","T_cell_CD4_TIMER","T_cell_CD8_TIMER","Neutrophil_TIMER","Macrophage_TIMER","DC_TIMER"
"P_990",0.0946593171784971,0.123335858856572,0.199945714211466,0.122450741522178,0.0542809491295381,0.48809012738559
"P_947",0.0992084713478984,0.12262768729511,0.214852330822774,0.124027532071793,0.0567777159815919,0.496842359422564
"P_825",0.0938410298131576,0.124600656633292,0.193931680260776,0.119028789902412,0.0566355864685476,0.48737308781273
"P_573",0.0984900157168661,0.125109525295441,0.208243637069173,0.128644086718401,0.0558914939280358,0.495136583092207
"P_378",0.0965799432413564,0.118798012051545,0.211340970019,0.130202898921846,0.060706831505304,0.497462463768433
"P_1873",0.0963583695021616,0.125522583323294,0.197816316143871,0.125005893081459,0.0613996370660658,0.493418282190675
"P_1809",0.0987314795751896,0.121983431872278,0.201840319852683,0.125402500834257,0.0589835109637834,0.498993760830821
"P_1708",0.101830637150509,0.11894231821982,0.211064142390291,0.139344608703783,0.057422297288255,0.503319378458882
"P_1619",0.0903332201563584,0.125215422154265,0.200388133309898,0.129155851120749,0.0675191283473507,0.50662894619801
"P_1554",0.0993354567372135,0.125331557676155,0.202018839046382,0.123474333457521,0.05748129853907,0.491661135166607
"P_1528",0.094882065342716,0.111157162420223,0.216304298778873,0.131234179676143,0.0541740548225021,0.495679279356589
"P_1510",0.0980926779478021,0.124956523031095,0.208168087214149,0.131470064564346,0.060771551652381,0.495041825763524
"P_1508",0.0982986852996972,0.123735849675499,0.212230936585737,0.131873163867161,0.0570953662005858,0.495772239478002
"P_1425",0.0929919485494795,0.120922930590621,0.207272677098595,0.129171025462391,0.0548446524089667,0.497954312760739
"P_1412",0.0931015348889833,0.120853374642414,0.205359304974429,0.12404854605139,0.0570796150010177,0.493640253624104
"P_1401",0.111454715190483,0.136797573107416,0.201139755910324,0.122969002327741,0.0523439221198472,0.499923346239797
"P_1358",0.0947151580560495,0.120580379285511,0.2031794523313,0.124759292834227,0.0572742378614552,0.499859408015758
"P_1352",0.0906269773342987,0.120021860346761,0.201063155332086,0.124269459575007,0.055419035375131,0.499670377085026
"P_1327",0.0944913202283394,0.120923685210316,0.209224327563246,0.128996575059472,0.0550019271379519,0.502217665303284
"P_1203",0.0948923382066554,0.121491315343873,0.193075322571672,0.121593978113488,0.0590110620332948,0.492827936614505
"P_1164",0.0936335324287937,0.122458266518559,0.200854434481764,0.128598102563152,0.0571774517686017,0.487334530545104
"P_1155",0.0936265926442391,0.116785700005438,0.205482301828616,0.124121660467838,0.052609269439914,0.49004135381429
"P_1145",0.107534370447992,0.127843363304254,0.208498889932229,0.133775137962623,0.056900147461651,0.495008360156181
"P_1104",0.0922740733845711,0.116369685478927,0.203239859544188,0.121095479288562,0.0581474310784375,0.491111088890239
"P_1079",0.0932458081299788,0.118749970765853,0.200855484443081,0.120052781093238,0.0520236375429739,0.492973330968665
"P_1066",0.0957446132574892,0.122762091751948,0.210014448572458,0.128477836835668,0.057978805949999,0.498527645107466
"P_1017",0.101557391916549,0.129313603587716,0.204762645858908,0.125331493548165,0.0624985707761028,0.494483498990145
