"CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"B_cells_naive",-0.0119261013818183,0.0642237313958057,-0.137802301870372,0.113950099106735,0.852683026626311,0,0.753095789855148,0.987317188725202
"B_cells_memory",-0.080332572631061,0.0715954686274641,-0.220657112597158,0.0599919673350359,0.26184784980302,0,0.96257443756301,0.444695692113253
"Plasma_cells",-0.115781724055199,0.061808654098201,-0.236924460020567,0.00536101191016919,0.0610368570181676,0.0294093185065949,0.420639617577849,0.14920120604441
"T_cells_CD8",-0.26873895820093,0.0686639609751452,-0.403317848748078,-0.134160067653782,9.08442189855497e-05,0.0135521100936524,0.44086404144487,0.000999286408841046
"T_cells_CD4_naive",0.0354501019830448,0.0790345356267988,-0.119454741380329,0.190354945346418,0.65376396876118,0,0.729376265804928,0.799044850708109
"T_cells_CD4_memory_resting",0.188173741574686,0.0708130711197106,0.0493826725453794,0.326964810603992,0.00787621600478355,0.2159749615977,0.182633205435173,0.0346553504210476
"T_cells_CD4_memory_activated",-0.186177023788184,0.0692444324207509,-0.321893617462773,-0.0504604301135945,0.0071732346346463,0.143019225583669,0.275835570517607,0.0346553504210476
"T_cells_follicular_helper",-0.166645884591569,0.0652675046251614,-0.294567843017686,-0.0387239261654509,0.01067152177531,0,0.505131301746014,0.0391289131761366
"T_cells_regulatory_.Tregs.",-0.00483588502413051,0.0662092798624803,-0.134603688996925,0.124931918948664,0.941774777194347,0,0.826615009442438,0.994850944310176
"T_cells_gamma_delta",-0.103929441176138,0.0672437923292589,-0.235724852325376,0.0278659699731005,0.122210416784273,0,0.6463591357753,0.2688629169254
"NK_cells_resting",0.0655366466350524,0.0700585293801478,-0.0717755477598784,0.202848841029983,0.349553532720497,0,0.788778811136501,0.51267851465673
"NK_cells_activated",-0.200166576072746,0.0616872103618255,-0.32107128668867,-0.0792618654568222,0.0011750694426705,0,0.540543162395891,0.00861717591291703
"Monocytes",0.12516578102957,0.0646103950535036,-0.00146826630220212,0.251799828361342,0.0527161275444313,0,0.790319427907038,0.14920120604441
"Macrophages_M0",0.126475685321409,0.0674076750138055,-0.0056409299872307,0.258592300630048,0.060616815699295,0.0953196380231933,0.334719145456187,0.14920120604441
"Macrophages_M1",-0.320579756963434,0.0786164723259908,-0.474665211313965,-0.166494302612902,4.54700496716501e-05,0.370134073798295,0.0460047571317281,0.000999286408841046
"Macrophages_M2",0.0507755131694807,0.0636877729244251,-0.0740502280179576,0.175601254356919,0.42530187563441,0,0.832018035823864,0.584790078997314
"Dendritic_cells_resting",-0.0722363406398674,0.0663566104640354,-0.20229290728553,0.0578202260057955,0.276326763244348,0,0.65265868728873,0.444695692113253
"Dendritic_cells_activated",0.00268818117913919,0.0694489659266502,-0.133429290800645,0.138805653158923,0.969123762165116,0,0.952520086318728,0.994850944310176
"Mast_cells_resting",0.000460065090642477,0.0712900203409087,-0.139265807234666,0.140185937415951,0.994850944310176,0,0.739789262847333,0.994850944310176
"Mast_cells_activated",0.0304844729221424,0.0630333210118987,-0.093058566087131,0.154027511931416,0.628652219960732,0,0.861454146675578,0.799044850708109
"Eosinophils",0.101765610864657,0.0719676639373063,-0.0392884185039453,0.24281964023326,0.157348300626516,0,0.959648604937776,0.314696601253033
"Neutrophils",0.0858313527309176,0.0799449393540653,-0.0708578491492892,0.242520554611124,0.282988167708433,0,0.715015861225305,0.444695692113253
